ลำดับ,หมวด,ประโยคเดิม,ประโยคโคลน,ผ่าน,ไม่ผ่าน
47,FOMO,ลดหนักมากแม่ รีบชวนเพื่อนมาหารด่วน!,ชอบหนักมากแม่ รีบชวนเพื่อนมาดูด้วยด่วน,,
48,FOMO,โค้ดส่วนลดมีจำกัด รีบใช้ก่อนสิทธิ์เต็ม!,สิทธิ์พิเศษช่วงนี้มีจำกัด รีบเช็กรายละเอียดก่อนหมด,,
49,FOMO,คุ้มจนอยากจะเหมาหมดสต็อก รีบไปกด!,ชอบจนอยากซ้ำหลายชิ้น ลองไปดูรายละเอียดก่อนตัดใจ,,
50,FOMO,อย่าปล่อยให้ของหลุดมือ ราคานี้หายากมาก!,อย่าปล่อยให้ของหลุดมือ แบบนี้หายากจริงๆ,,
51,AUTHENTIC,โอ๊ยยย ก็ว่าจะไม่บอกแล้วนะ แต่มันเริ่ดจริง!,โอ๊ยยย ก็ว่าจะไม่บอกแล้วนะ แต่มันเริ่ดจริงนะ!,,
52,AUTHENTIC,ความลับนางฟ้าที่แบรนด์ไม่ได้จ่าย จ่ายเองล้วนๆ!,ความลับนางฟ้าที่แบรนด์ไม่ได้จ่าย จ่ายเองล้วนๆนะ!,,
53,AUTHENTIC,โดนตกมาแบบงงๆ ไม่อยากเก็บไว้คนเดียวเลย,โดนตกมาแบบงงๆ ไม่อยากเก็บไว้คนเดียวเลยนะ,,
54,AUTHENTIC,โนสปอนเซอร์นะคะ คลิปนี้รีวิวจากใจผู้ใช้จริง!,โนสปอนเซอร์นะคะ คลิปนี้รีวิวจากใจผู้ใช้จริงนะ!,,
55,AUTHENTIC,เพื่อนทักว่าไปทำอะไรมา ทำไมช่วงนี้ดูดีขึ้น!,เพื่อนทักว่าไปทำอะไรมา ทำไมช่วงนี้ดูดีขึ้นนะ!,,
56,AUTHENTIC,ไอเทมลับที่คนเก่งๆ เค้าแอบใช้กัน!,ไอเทมลับที่คนเก่งๆ เค้าแอบใช้กันนะ!,,
57,AUTHENTIC,ป้ายยาแรงมากแกรรร ไม่ดีจริงไม่กล้าเอามาบอก!,ป้ายยาแรงมากแกรรร ไม่ดีจริงไม่กล้าเอามาบอกนะ!,,
58,AUTHENTIC,ขอร้องเลยนะ ใครยังไม่เคยลอง ต้องเปิดใจ!,ขอร้องเลยนะ ใครยังไม่เคยลอง ต้องเปิดใจนะ!,,
59,AUTHENTIC,บอกบุญจ้าาา เจอของดีเลยเอามาแชร์ต่อ!,บอกบุญจ้าาา เจอของดีเลยเอามาแชร์ต่อนะ!,,
60,AUTHENTIC,ชั้นไปอยู่ไหนมา ทำไมเพิ่งมารู้จักสิ่งนี้!,ชั้นไปอยู่ไหนมา ทำไมเพิ่งมารู้จักสิ่งนี้นะ!,,
61,AUTHENTIC,วงการนี้เข้าแล้วออกยากมาก บอกเลย!,วงการนี้เข้าแล้วออกยากมาก บอกเลยนะ!,,
62,AUTHENTIC,ของมันต้องมีจริงๆ แก ไม่มีคือเอาต์มาก!,ของมันต้องมีจริงๆ แก ไม่มีคือเอาต์มากนะ!,,
63,AUTHENTIC,รีวิวพลีชีพ! ใช้จริง เจ็บจริง ดีจริงเลยมาบอก!,รีวิวพลีชีพ! ใช้จริง เจ็บจริง ดีจริงเลยมาบอกนะ!,,
64,AUTHENTIC,ไม่คิดว่าจะเวิร์ค แต่พอลองแล้วคือจึ้งมาก!,ไม่คิดว่าจะเวิร์ค แต่พอลองแล้วคือจึ้งมากนะ!,,
65,AUTHENTIC,เคล็ดลับที่ทำลืมไปเลยว่าเคยมีปัญหานี้!,เคล็ดลับที่ทำลืมไปเลยว่าเคยมีปัญหานี้นะ!,,
66,AUTHENTIC,ใครมีปัญหาแบบเรา มามุงด่วนๆ เลยจ้า!,ใครมีปัญหาแบบเรา มามุงด่วนๆ เลยจ้านะ!,,
67,AUTHENTIC,ตอบคำถามที่คนทักมาถามเยอะที่สุดในอินบ็อกซ์!,ตอบคำถามที่คนทักมาถามเยอะจัดเต็มมากในอินบ็อกซ์!,,
68,AUTHENTIC,เผยเคล็ดลับที่แอบซุ่มใช้มานาน วันนี้ยอมบอกละ!,เผยเคล็ดลับที่แอบซุ่มใช้มานาน วันนี้เล่าให้ฟังละ!,,
69,AUTHENTIC,ใครลังเลอยู่ ดูคลิปนี้จบ ตัดสินใจได้แน่นอน!,ใครลังเลอยู่ ดูคลิปนี้จบ ตัดสินใจได้แน่นอนนะ!,,
70,AUTHENTIC,ไม่ดีจริงไม่กล้าเอาหน้ามารับประกันนะบอกเลย!,ไม่ดีจริงไม่กล้าเอาหน้ามายืนยันจากประสบการณ์ใช้เองน,,
71,AUTHENTIC,ใช้เองจนหมดไปหลายขวด เพิ่งมีโอกาสมารีวิว!,ใช้เองจนหมดไปหลายขวด เพิ่งมีโอกาสมารีวิวนะ!,,
72,AUTHENTIC,ของดีบอกต่อ ไม่หวงเคล็ดลับเลยจ้า!,ของดีบอกต่อ ไม่หวงเคล็ดลับเลยจ้านะ!,,
73,AUTHENTIC,ลองมาหมดแล้ว จบที่ตัวนี้ตัวเดียวจริงๆ!,ลองมาหมดแล้ว จบที่ตัวนี้ตัวเดียวจริงๆนะ!,,
74,AUTHENTIC,ใครเป็นสายนี้ ห้ามพลาดไอเทมนี้เด็ดขาด!,ใครเป็นสายนี้ ห้ามพลาดไอเทมนี้เด็ดขาดนะ!,,
75,AUTHENTIC,ป้ายยาแบบไม่กั๊ก ดีบอกดี ไม่ดีบอกไม่ดี!,ป้ายยาแบบไม่กั๊ก ดีบอกดี ไม่ดีบอกไม่ดีนะ!,,
76,AUTHENTIC,รีวิวแบบเรียลๆ โนฟิลเตอร์ โนแต่งภาพ!,รีวิวแบบเรียลๆ โนฟิลเตอร์ โนแต่งภาพนะ!,,
77,AUTHENTIC,ไอเทมกู้ชีพในวันเร่งรีบ ต้องมีติดกระเป๋า!,ไอเทมกู้ชีพในวันเร่งรีบ ต้องมีติดกระเป๋านะ!,,
78,AUTHENTIC,ใครขี้เกียจฟังยาวๆ ข้ามไปกดตะกร้าได้เลย!,ใครขี้เกียจฟังยาวๆ ข้ามไปกดตะกร้าได้เลยนะ!,,
79,AUTHENTIC,สารภาพบาป ว่าแอบไปตำตามชาวทวิตมา!,สารภาพบาป ว่าแอบไปตำตามชาวทวิตมานะ!,,
80,AUTHENTIC,เจอตัวตายตัวแทนแล้ว ไม่ต้องง้อของแพงอีกต่อไป!,เจอตัวตายตัวแทนแล้ว ไม่ต้องง้อของแพงอีกต่อไปนะ!,,
81,AUTHENTIC,ฮาวทูโกงความสวย แบบไม่ต้องจ่ายแพง!,ฮาวทูโกงความสวย แบบไม่ต้องจ่ายแพงนะ!,,
82,AUTHENTIC,ไอเทมลูกรักตัวใหม่ ยกให้เป็นเบอร์หนึ่งตอนนี้!,ไอเทมลูกรักตัวใหม่ ยกให้เป็นเบอร์หนึ่งตอนนี้นะ!,,
83,AUTHENTIC,ใครชอบความคุ้มค่า ต้องโดนตัวนี้ตกแน่ๆ!,ใครชอบของที่ใช้งานได้จริง ต้องลองดูคลิปนี้,,
84,AUTHENTIC,รีวิวตามจริง จากคนที่จ่ายเงินซื้อเองทุกบาท!,รีวิวตามจริง จากคนที่จ่ายเงินซื้อเองทุกบาทนะ!,,
85,AUTHENTIC,ป้ายยาเพื่อนไปหลายคนแล้ว วันนี้ขอมาป้ายยาในนี้บ้าง!,ป้ายยาเพื่อนไปหลายคนแล้ว วันนี้ขอมาป้ายยาในนี้บ้างน,,
86,AUTHENTIC,ใครเบื่อปัญหาเดิมๆ ลองเปิดใจให้สิ่งนี้ดูนะ!,ใครเบื่อปัญหาเดิมๆ ลองเปิดใจให้สิ่งนี้ดูนะจ้า!,,
87,AUTHENTIC,เคล็ด(ไม่)ลับ ที่อยากให้ทุกคนได้รู้!,เคล็ด(ไม่)ลับ ที่อยากให้ทุกคนได้รู้นะ!,,
88,AUTHENTIC,ไอเทมที่ทำให้ชีวิตง่ายขึ้น 300%,ของชิ้นนี้ที่ทำให้ชีวิตง่ายขึ้น 300%,,
89,AUTHENTIC,ดีใจมากที่ตัดสินใจซื้อวันนั้น ไม่ผิดหวังเลย!,ดีใจมากที่ตัดสินใจซื้อวันนั้น ไม่ผิดหวังเลยนะ!,,
90,AUTHENTIC,รีวิวฉบับคนขี้เกียจ ไอเทมเดียวจบปิ๊ง!,รีวิวฉบับคนขี้เกียจ ไอเทมเดียวจบปิ๊งนะ!,,
91,AUTHENTIC,ใครยังลังเล ฟังทางนี้ก่อนจ้า!,ใครยังลังเล ฟังทางนี้ก่อนจ้านะ!,,
92,AUTHENTIC,ป้ายยาแบบรัวๆ เตรียมตัวเสียทรัพย์ได้เลย!,ป้ายยาแบบรัวๆ เตรียมตัวเสียทรัพย์ได้เลยนะ!,,
93,AUTHENTIC,ไอเทม Must Have ที่ขาดไม่ได้ในตอนนี้!,ไอเทม Must Have ที่ขาดไม่ได้ในตอนนี้นะ!,,
94,AUTHENTIC,ไม่เชื่อก็ต้องเชื่อ ว่ามันเปลี่ยนชีวิตเราจริงๆ!,ไม่เชื่อก็ต้องเชื่อ ว่ามันเปลี่ยนชีวิตเราจริงๆนะ!,,
95,AUTHENTIC,รีวิวแบบสับๆ ไม่เยิ่นเย้อ ไปดูกันเลย!,รีวิวแบบสับๆ ไม่เยิ่นเย้อ ไปดูกันเลยนะ!,,
96,AUTHENTIC,ใครอยากรู้เคล็ดลับ ตามมาดูด่วนๆ!,ใครอยากรู้เคล็ดลับ ตามมาดูด่วนๆนะ!,,
97,AUTHENTIC,ไอเทมลับที่ช่วยเซฟเงินในกระเป๋าไปได้เยอะ!,ไอเทมลับที่ช่วยเซฟเงินในกระเป๋าไปได้เยอะนะ!,,
98,AUTHENTIC,ดีจนอยากจะเหมามาแจกเพื่อนให้หมด!,ดีจนอยากจะเหมามาแจกเพื่อนให้หมดนะ!,,
99,AUTHENTIC,ป้ายยาไอเทมเด็ด ที่ควรมีติดบ้าน!,ป้ายยาไอเทมเด็ด ที่ควรมีติดบ้านนะ!,,
100,AUTHENTIC,รีวิวจากใจคนใช้จริง ไม่หน้าม้าแน่นอน!,รีวิวจากใจคนใช้จริง ไม่หน้าม้าแน่นอนนะ!,,
101,OBSESSION,ไม่อยากให้เจ้าของแบรนด์เลิกผลิตเลย ขอร้อง!,ไม่อยากให้เจ้าของแบรนด์เลิกผลิตเลย ขอร้องนะ!,,
102,OBSESSION,ยกให้เป็นเดอะเบสท์ของปีนี้เลย จึ้งมาก!,ยกให้เป็นตัวโปรดของเราของปีนี้เลย จึ้งมาก!,,
103,OBSESSION,ซื้อตุนจนกว่าจะเลิกผลิต ของมันดีจริงๆ!,ซื้อตุนจนกว่าจะเลิกผลิต ของมันดีจริงๆนะ!,,
104,OBSESSION,ขาดเธอเหมือนขาดใจ ไอเทมนี้ต้องมีติดตัวตลอด!,ขาดเธอเหมือนขาดใจ ไอเทมนี้ต้องมีติดตัวตลอดนะ!,,
105,OBSESSION,ซื้อซ้ำรอบที่ร้อย ดีจนไม่รู้จะอวยยังไงแล้ว!,ซื้อซ้ำรอบที่ร้อย ดีจนไม่รู้จะอวยยังไงแล้วนะ!,,
106,OBSESSION,ถ้าแบรนด์เลิกทำ ฉันจะประท้วง!,ถ้าแบรนด์เลิกทำ ฉันจะประท้วงนะ!,,
107,OBSESSION,ไอเทมกู้โลก กู้ชีวิต ขาดไม่ได้เด็ดขาด!,ไอเทมกู้โลก กู้ชีวิต ขาดไม่ได้เด็ดขาดนะ!,,
108,OBSESSION,ตั้งแต่เจอสิ่งนี้ ชีวิตก็เปลี่ยนไปตลอดกาล!,ตั้งแต่เจอสิ่งนี้ ชีวิตก็เปลี่ยนไปตลอดกาลนะ!,,
109,OBSESSION,ยกขึ้นหิ้งไปเลยจ้า ไอเทมระดับตำนาน!,ยกขึ้นหิ้งไปเลยจ้า ไอเทมระดับตัวจริงที่ใช้ประจำ!,,
110,OBSESSION,ไม่เคยผิดหวังกับแบรนด์นี้ ทำถึงตลอด!,ไม่เคยผิดหวังกับแบรนด์นี้ ทำถึงตลอดนะ!,,
111,OBSESSION,ซื้อเผื่อชาติหน้าไปเลย คุ้มค่าทุกบาททุกสตางค์!,ซื้อแล้วรู้สึกว่าคุ้มกับที่จ่าย ทุกบาททุกสตางค์,,
112,OBSESSION,ไอเทมกันตาย วันไหนไม่มีคือขาดความมั่นใจ!,ไอเทมกันตาย วันไหนไม่มีคือขาดความมั่นใจนะ!,,
113,OBSESSION,ใช้ดีจนต้องกราบคนคิดค้น ขอบคุณที่สร้างสิ่งนี้มา!,ใช้ดีจนต้องกราบคนคิดค้น ขอบคุณที่สร้างสิ่งนี้มานะ!,,
114,OBSESSION,นี่คือเหตุผลที่ทำไมเราถึงซื้อซ้ำวนไป!,นี่คือเหตุผลที่ทำไมเราถึงซื้อซ้ำวนไปนะ!,,
115,OBSESSION,ไอเทมระดับเวิลด์คลาส แต่ราคาจับต้องได้!,ไอเทมระดับคุณภาพน่าประทับใจ แต่ราคาจับต้องได้!,,
116,OBSESSION,ดีจนอยากจะเหมาทั้งโรงงานมาไว้ที่บ้าน!,ดีจนอยากจะเหมาทั้งโรงงานมาไว้ที่บ้านนะ!,,
117,OBSESSION,ไม่นอกใจไปไหนแล้ว จบที่ตัวนี้ตัวเดียว!,ไม่นอกใจไปไหนแล้ว จบที่ตัวนี้ตัวเดียวนะ!,,
118,OBSESSION,ยกให้เป็น MVP ของหมวดนี้เลย ไม่มีใครล้มได้!,ยกให้เป็น ตัวเด็ด ของหมวดนี้เลย ไม่มีใครล้มได้!,,
119,OBSESSION,ไอเทมเปลี่ยนชีวิต จากหน้ามือเป็นหลังมือ!,ไอเทมเปลี่ยนชีวิต จากหน้ามือเป็นหลังมือนะ!,,
120,OBSESSION,ถ้าให้เลือกไอเทมไปติดเกาะ ขอเลือกสิ่งนี้!,ถ้าให้เลือกไอเทมไปติดเกาะ ขอเลือกสิ่งนี้นะ!,,
121,OBSESSION,ใช้ดีจนต้องร้องขอชีวิต มันเริ่ดเกินแก!,ใช้ดีจนต้องร้องขอชีวิต มันเริ่ดเกินแกนะ!,,
122,OBSESSION,ไอเทมที่ทุกคนคู่ควร เกิดมาต้องได้ลองซักครั้ง!,ไอเทมที่ทุกคนคู่ควร เกิดมาต้องได้ลองซักครั้งนะ!,,
123,OBSESSION,อวยยศให้สุดทาง ดีจนต้องบอกต่อให้โลกรู้!,อวยยศให้สุดทาง ดีจนต้องบอกต่อให้โลกรู้นะ!,,
124,OBSESSION,ใครไม่เคยลอง ถือว่าพลาดของดีในชีวิตไปเลยนะ!,ใครไม่เคยลอง ถือว่าพลาดของดีในชีวิตไปเลยนะจ้า!,,
125,OBSESSION,ซื้อตุนไว้ก่อน อุ่นใจกว่า ของขาดตลาดบ่อยมาก!,ซื้อตุนไว้ก่อน อุ่นใจกว่า ของขาดตลาดบ่อยมากนะ!,,
126,OBSESSION,ไอเทมที่ใช้แล้วรู้สึกสวย/หล่อขึ้น 10 ระดับ!,ไอเทมที่ใช้แล้วรู้สึกสวย/หล่อขึ้น 10 ระดับนะ!,,
127,OBSESSION,ของดีระดับแรร์ไอเทม ใครเจอกดด่วน!,ของดีระดับแรร์ไอเทม ใครเจอกดด่วนนะ!,,
128,OBSESSION,ใช้จนหยดสุดท้าย ไม่ยอมทิ้งเด็ดขาด!,ใช้จนหยดสุดท้าย ไม่ยอมทิ้งเด็ดขาดนะ!,,
129,OBSESSION,ดีจนอยากจะมอบมงกุฎให้เลย สมมงที่สุด!,ดีจนอยากจะมอบมงกุฎให้เลย สมมงจัดเต็มมาก!,,
130,OBSESSION,ไอเทมที่ทำให้คนรอบข้างทักจนรำคาญ! (ในทางที่ดี),ของชิ้นนี้ที่ทำให้คนรอบข้างทักจนรำคาญ! (ในทางที่ดี),,
131,OBSESSION,ขาดสิ่งนี้ไป ชีวิตขาดสีสันแน่นอน!,ขาดสิ่งนี้ไป ชีวิตขาดสีสันแน่นอนนะ!,,
132,OBSESSION,ซื้อแล้วซื้ออีก ซื้อวนไป ซื้อจนกว่าจะล้มละลาย!,ซื้อแล้วซื้ออีก ซื้อวนไป ซื้อจนกว่าจะล้มละลายนะ!,,
133,OBSESSION,ไอเทมที่ช่วยแก้ปัญหาเรื้อรังมานับสิบปี!,ไอเทมที่ช่วยแก้ปัญหาเรื้อรังมานับสิบปีนะ!,,
134,OBSESSION,ยกให้เป็นนัมเบอร์วันในดวงใจตลอดกาล!,ยกให้เป็นตัวโปรดในดวงใจตลอดไป!,,
135,OBSESSION,ดีจนอยากจะกระซิบข้างหูให้ทุกคนไปซื้อ!,ดีจนอยากจะกระซิบข้างหูให้ทุกคนไปซื้อนะ!,,
136,OBSESSION,ไอเทมที่ทำให้รู้สึกว่า เงินที่จ่ายไปคุ้มค่ามาก!,ไอเทมที่ทำให้รู้สึกว่า เงินที่จ่ายไปคุ้มกับการใช้งา,,
137,OBSESSION,ไม่เคยอินกับอะไรขนาดนี้มาก่อน จนมาเจอสิ่งนี้!,ไม่เคยอินกับอะไรขนาดนี้มาก่อน จนมาเจอสิ่งนี้นะ!,,
138,OBSESSION,ขอแต่งตั้งให้เป็นไอเทมลูกรักประจำปีนี้!,ขอแต่งตั้งให้เป็นไอเทมลูกรักประจำปีนี้นะ!,,
139,OBSESSION,ดีจนอยากจะกราบเบญจางคประดิษฐ์ให้แบรนด์!,ดีจนอยากจะกราบเบญจางคประดิษฐ์ให้แบรนด์นะ!,,
140,OBSESSION,ไอเทมที่ทำให้เรากลายเป็นคนคลั่งรัก! (รักสินค้า),ของชิ้นนี้ที่ทำให้เรากลายเป็นคนคลั่งรัก!,,
141,OBSESSION,ขาดเธอไม่ได้จริงๆ ขอร้องอย่าเลิกผลิตนะ!,ขาดเธอไม่ได้จริงๆ ขอร้องอย่าเลิกผลิตนะจ้า!,,
142,OBSESSION,ซื้อตุนรัวๆ กลัววันนึงเค้าจะไม่ทำขายแล้ว!,ซื้อตุนรัวๆ กลัววันนึงเค้าจะไม่ทำขายแล้วนะ!,,
143,OBSESSION,ไอเทมที่เปลี่ยนเรื่องยากให้กลายเป็นเรื่องง่าย!,ไอเทมที่เปลี่ยนเรื่องยากให้กลายเป็นเรื่องง่ายนะ!,,
144,OBSESSION,ยกให้เป็นพระเอก/นางเอกของงานนี้เลย!,ยกให้เป็นพระเอก/นางเอกของงานนี้เลยนะ!,,
145,OBSESSION,ดีจนต้องปาดน้ำตา ทำไมเพิ่งมาเจอตอนนี้!,ดีจนต้องปาดน้ำตา ทำไมเพิ่งมาเจอตอนนี้นะ!,,
146,OBSESSION,ไอเทมที่ทำให้เรารักตัวเองมากขึ้น!,ไอเทมที่ทำให้เรารักตัวเองมากขึ้นนะ!,,
147,OBSESSION,ไม่ใช่แค่ชอบ แต่มันคือความผูกพันไปแล้ว!,ไม่ใช่แค่ชอบ แต่มันคือความผูกพันไปแล้วนะ!,,
148,OBSESSION,ขาดสิ่งนี้ไป ชีวิตเหมือนขาดอะไรไปอย่าง!,ขาดสิ่งนี้ไป ชีวิตเหมือนขาดอะไรไปอย่างนะ!,,
149,OBSESSION,ซื้อซ้ำจนจำไม่ได้แล้วว่ากระปุกที่เท่าไหร่!,ซื้อซ้ำจนจำไม่ได้แล้วว่ากระปุกที่เท่าไหร่นะ!,,
150,OBSESSION,ยกให้เป็นตำนานที่ยังมีลมหายใจ ไอเทมสุดปัง!,ยกให้เป็นตัวจริงที่ใช้ประจำที่ยังมีลมหายใจ,,
